running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016907.0003
Pilot Information
[None, u'Launching', 8.7030508518219]
['pilot.0000', u'Launching', 8.713245868682861]
['pilot.0000', u'PendingActive', 27.728271007537842]
['pilot.0000', u'Active', 279.26771092414856]


Unit Information
['unit.000091', u'pilot.0000', u'StagingInput', 57.78658103942871]
['unit.000192', u'pilot.0000', u'AgentStagingInputPending', 57.78677797317505]
['unit.000099', u'pilot.0000', u'AgentStagingInputPending', 57.786855936050415]
['unit.000113', u'pilot.0000', u'PendingInputStaging', 57.78703594207764]
['unit.000112', u'pilot.0000', u'AgentStagingInputPending', 57.787062883377075]
['unit.000102', u'pilot.0000', u'AgentStagingInputPending', 57.78723406791687]
['unit.000166', u'pilot.0000', u'AgentStagingInputPending', 57.787347078323364]
['unit.000176', u'pilot.0000', u'AgentStagingInputPending', 57.7875280380249]
['unit.000172', u'pilot.0000', u'AgentStagingInputPending', 57.78757905960083]
['unit.000029', u'pilot.0000', u'PendingInputStaging', 57.78763389587402]
['unit.000123', u'pilot.0000', u'AgentStagingInputPending', 57.78766107559204]
['unit.000028', u'pilot.0000', u'AgentStagingInputPending', 57.78768587112427]
['unit.000184', u'pilot.0000', u'AgentStagingInputPending', 57.787773847579956]
['unit.000069', u'pilot.0000', u'AgentStagingInputPending', 57.787811040878296]
['unit.000024', u'pilot.0000', u'AgentStagingInputPending', 57.78784394264221]
['unit.000229', u'pilot.0000', u'PendingInputStaging', 57.788102865219116]
['unit.000244', u'pilot.0000', u'AgentStagingInputPending', 61.898393869400024]
['unit.000032', u'pilot.0000', u'AgentStagingInputPending', 61.89845585823059]
['unit.000031', u'pilot.0000', u'AgentStagingInputPending', 61.89849495887756]
['unit.000033', u'pilot.0000', u'PendingInputStaging', 61.898781061172485]
['unit.000030', u'pilot.0000', u'AgentStagingInputPending', 61.89884090423584]
['unit.000241', u'pilot.0000', u'PendingInputStaging', 61.898881912231445]
['unit.000092', u'pilot.0000', u'AgentStagingInputPending', 61.89892888069153]
['unit.000093', u'pilot.0000', u'AgentStagingInputPending', 61.898956060409546]
['unit.000094', u'pilot.0000', u'AgentStagingInputPending', 61.89898490905762]
['unit.000095', u'pilot.0000', u'PendingInputStaging', 61.899011850357056]
['unit.000096', u'pilot.0000', u'PendingInputStaging', 61.89903903007507]
['unit.000157', u'pilot.0000', u'AgentStagingInputPending', 61.89912486076355]
['unit.000034', u'pilot.0000', u'PendingInputStaging', 61.89921307563782]
['unit.000008', u'pilot.0000', u'AgentStagingInputPending', 61.899314880371094]
['unit.000091', u'pilot.0000', u'AgentStagingInputPending', 61.899375915527344]
['unit.000124', u'pilot.0000', u'PendingInputStaging', 61.899585008621216]
['unit.000113', u'pilot.0000', u'AgentStagingInputPending', 61.89981198310852]
['unit.000019', u'pilot.0000', u'PendingInputStaging', 61.89988684654236]
['unit.000195', u'pilot.0000', u'AgentStagingInputPending', 61.90014886856079]
['unit.000194', u'pilot.0000', u'AgentStagingInputPending', 61.90017604827881]
['unit.000029', u'pilot.0000', u'AgentStagingInputPending', 61.900413036346436]
['unit.000188', u'pilot.0000', u'AgentStagingInputPending', 61.90045189857483]
['unit.000171', u'pilot.0000', u'StagingInput', 61.90048694610596]
['unit.000180', u'pilot.0000', u'AgentStagingInputPending', 61.90053105354309]
['unit.000229', u'pilot.0000', u'AgentStagingInputPending', 61.90082597732544]
['unit.000039', u'pilot.0000', u'AgentStagingInputPending', 65.22303295135498]
['unit.000020', u'pilot.0000', u'AgentStagingInputPending', 65.22382998466492]
['unit.000033', u'pilot.0000', u'AgentStagingInputPending', 65.22390103340149]
['unit.000129', u'pilot.0000', u'AgentStagingInputPending', 65.22394895553589]
['unit.000241', u'pilot.0000', u'AgentStagingInputPending', 65.22400999069214]
['unit.000095', u'pilot.0000', u'AgentStagingInputPending', 65.22406792640686]
['unit.000096', u'pilot.0000', u'AgentStagingInputPending', 65.22409105300903]
['unit.000097', u'pilot.0000', u'AgentStagingInputPending', 65.22411489486694]
['unit.000133', u'pilot.0000', u'AgentStagingInputPending', 65.22426199913025]
['unit.000130', u'pilot.0000', u'AgentStagingInputPending', 65.22430205345154]
['unit.000137', u'pilot.0000', u'PendingInputStaging', 65.22432494163513]
['unit.000135', u'pilot.0000', u'AgentStagingInputPending', 65.22435593605042]
['unit.000134', u'pilot.0000', u'AgentStagingInputPending', 65.22439002990723]
['unit.000248', u'pilot.0000', u'PendingInputStaging', 65.224436044693]
['unit.000041', u'pilot.0000', u'PendingInputStaging', 65.22446703910828]
['unit.000040', u'pilot.0000', u'StagingInput', 65.22460794448853]
['unit.000124', u'pilot.0000', u'AgentStagingInputPending', 65.22466492652893]
['unit.000125', u'pilot.0000', u'AgentStagingInputPending', 65.2246880531311]
['unit.000098', u'pilot.0000', u'AgentStagingInputPending', 65.22472405433655]
['unit.000034', u'pilot.0000', u'AgentStagingInputPending', 65.22477602958679]
['unit.000198', u'pilot.0000', u'AgentStagingInputPending', 65.22480797767639]
['unit.000115', u'pilot.0000', u'PendingInputStaging', 65.22488784790039]
['unit.000114', u'pilot.0000', u'AgentStagingInputPending', 65.22491192817688]
['unit.000036', u'pilot.0000', u'AgentStagingInputPending', 65.22498202323914]
['unit.000037', u'pilot.0000', u'AgentStagingInputPending', 65.22500705718994]
['unit.000019', u'pilot.0000', u'AgentStagingInputPending', 65.22503685951233]
['unit.000171', u'pilot.0000', u'AgentStagingInputPending', 65.2250599861145]
['unit.000035', u'pilot.0000', u'AgentStagingInputPending', 65.22508406639099]
['unit.000203', u'pilot.0000', u'AgentStagingInputPending', 65.22514486312866]
['unit.000202', u'pilot.0000', u'AgentStagingInputPending', 65.22516894340515]
['unit.000103', u'pilot.0000', u'AgentStagingInputPending', 65.22524404525757]
['unit.000101', u'pilot.0000', u'AgentStagingInputPending', 65.22527503967285]
['unit.000104', u'pilot.0000', u'AgentStagingInputPending', 65.2253110408783]
['unit.000238', u'pilot.0000', u'PendingInputStaging', 65.22534108161926]
['unit.000136', u'pilot.0000', u'PendingInputStaging', 65.22537899017334]
['unit.000038', u'pilot.0000', u'AgentStagingInputPending', 65.22541093826294]
['unit.000190', u'pilot.0000', u'AgentStagingInputPending', 65.22547888755798]
['unit.000216', u'pilot.0000', u'PendingInputStaging', 65.22551608085632]
['unit.000223', u'pilot.0000', u'AgentStagingInputPending', 65.22565507888794]
['unit.000165', u'pilot.0000', u'AgentStagingInputPending', 65.22583889961243]
['unit.000163', u'pilot.0000', u'AgentStagingInputPending', 65.22589802742004]
['unit.000169', u'pilot.0000', u'AgentStagingInputPending', 65.22599792480469]
['unit.000072', u'pilot.0000', u'AgentStagingInputPending', 65.22606492042542]
['unit.000071', u'pilot.0000', u'AgentStagingInputPending', 65.22610187530518]
['unit.000251', u'pilot.0000', u'PendingInputStaging', 68.98279404640198]
['unit.000044', u'pilot.0000', u'AgentStagingInputPending', 68.98329091072083]
['unit.000050', u'pilot.0000', u'PendingInputStaging', 68.98367691040039]
['unit.000084', u'pilot.0000', u'AgentStagingInputPending', 68.98386096954346]
['unit.000221', u'pilot.0000', u'AgentStagingInputPending', 68.9839940071106]
['unit.000042', u'pilot.0000', u'AgentStagingInputPending', 68.98412895202637]
['unit.000232', u'pilot.0000', u'AgentStagingInputPending', 68.98416495323181]
['unit.000238', u'pilot.0000', u'AgentStagingInputPending', 68.98445105552673]
['unit.000248', u'pilot.0000', u'AgentStagingInputPending', 68.98452091217041]
['unit.000001', u'pilot.0000', u'AgentStagingInputPending', 68.98454904556274]
['unit.000253', u'pilot.0000', u'AgentStagingInputPending', 68.9846019744873]
['unit.000146', u'pilot.0000', u'PendingInputStaging', 68.98464488983154]
['unit.000144', u'pilot.0000', u'AgentStagingInputPending', 68.98467707633972]
['unit.000145', u'pilot.0000', u'StagingInput', 68.98470091819763]
['unit.000142', u'pilot.0000', u'AgentStagingInputPending', 68.98472499847412]
['unit.000143', u'pilot.0000', u'AgentStagingInputPending', 68.98474788665771]
['unit.000140', u'pilot.0000', u'AgentStagingInputPending', 68.98477292060852]
['unit.000141', u'pilot.0000', u'AgentStagingInputPending', 68.9847960472107]
['unit.000045', u'pilot.0000', u'AgentStagingInputPending', 68.98483896255493]
['unit.000043', u'pilot.0000', u'AgentStagingInputPending', 68.98487305641174]
['unit.000041', u'pilot.0000', u'AgentStagingInputPending', 68.98490500450134]
['unit.000040', u'pilot.0000', u'AgentStagingInputPending', 68.98492789268494]
['unit.000139', u'pilot.0000', u'AgentStagingInputPending', 68.9850549697876]
['unit.000115', u'pilot.0000', u'AgentStagingInputPending', 68.98515796661377]
['unit.000116', u'pilot.0000', u'AgentStagingInputPending', 68.98519897460938]
['unit.000230', u'pilot.0000', u'AgentStagingInputPending', 68.98526501655579]
['unit.000236', u'pilot.0000', u'AgentStagingInputPending', 68.98534107208252]
['unit.000240', u'pilot.0000', u'PendingInputStaging', 68.98536705970764]
['unit.000106', u'pilot.0000', u'PendingInputStaging', 68.98548889160156]
['unit.000105', u'pilot.0000', u'AgentStagingInputPending', 68.98552989959717]
['unit.000137', u'pilot.0000', u'AgentStagingInputPending', 68.98555493354797]
['unit.000136', u'pilot.0000', u'AgentStagingInputPending', 68.98559403419495]
['unit.000049', u'pilot.0000', u'AgentStagingInputPending', 68.98563694953918]
['unit.000047', u'pilot.0000', u'AgentStagingInputPending', 68.98566198348999]
['unit.000239', u'pilot.0000', u'AgentStagingInputPending', 68.98568606376648]
['unit.000216', u'pilot.0000', u'AgentStagingInputPending', 68.98577499389648]
['unit.000178', u'pilot.0000', u'AgentStagingInputPending', 68.98592901229858]
['unit.000062', u'pilot.0000', u'AgentStagingInputPending', 68.98609900474548]
['unit.000161', u'pilot.0000', u'PendingInputStaging', 68.98620200157166]
['unit.000046', u'pilot.0000', u'AgentStagingInputPending', 68.986319065094]
['unit.000022', u'pilot.0000', u'PendingInputStaging', 68.98634505271912]
['unit.000048', u'pilot.0000', u'AgentStagingInputPending', 68.98636984825134]
['unit.000168', u'pilot.0000', u'AgentStagingInputPending', 68.98639488220215]
['unit.000138', u'pilot.0000', u'AgentStagingInputPending', 68.98641991615295]
['unit.000127', u'pilot.0000', u'AgentStagingInputPending', 68.98644495010376]
['unit.000073', u'pilot.0000', u'AgentStagingInputPending', 68.98652696609497]
['unit.000251', u'pilot.0000', u'AgentStagingInputPending', 72.37151288986206]
['unit.000050', u'pilot.0000', u'AgentStagingInputPending', 72.37163496017456]
['unit.000118', u'pilot.0000', u'PendingInputStaging', 72.37166094779968]
['unit.000002', u'pilot.0000', u'AgentStagingInputPending', 72.3716869354248]
['unit.000121', u'pilot.0000', u'AgentStagingInputPending', 72.37170886993408]
['unit.000053', u'pilot.0000', u'AgentStagingInputPending', 72.37173199653625]
['unit.000086', u'pilot.0000', u'AgentStagingInputPending', 72.37180590629578]
['unit.000225', u'pilot.0000', u'AgentStagingInputPending', 72.37187600135803]
['unit.000220', u'pilot.0000', u'AgentStagingInputPending', 72.37193894386292]
['unit.000022', u'pilot.0000', u'AgentStagingInputPending', 72.37201595306396]
['unit.000154', u'pilot.0000', u'PendingInputStaging', 72.37215685844421]
['unit.000234', u'pilot.0000', u'AgentStagingInputPending', 72.3723349571228]
['unit.000160', u'pilot.0000', u'AgentStagingInputPending', 72.37235689163208]
['unit.000161', u'pilot.0000', u'AgentStagingInputPending', 72.37237596511841]
['unit.000245', u'pilot.0000', u'PendingInputStaging', 72.37241196632385]
['unit.000218', u'pilot.0000', u'AgentStagingInputPending', 72.37243986129761]
['unit.000148', u'pilot.0000', u'AgentStagingInputPending', 72.37246203422546]
['unit.000146', u'pilot.0000', u'AgentStagingInputPending', 72.3724889755249]
['unit.000147', u'pilot.0000', u'AgentStagingInputPending', 72.37250995635986]
['unit.000145', u'pilot.0000', u'AgentStagingInputPending', 72.37253785133362]
['unit.000120', u'pilot.0000', u'AgentStagingInputPending', 72.37264394760132]
['unit.000122', u'pilot.0000', u'StagingInput', 72.37267303466797]
['unit.000059', u'pilot.0000', u'PendingInputStaging', 72.37274289131165]
['unit.000054', u'pilot.0000', u'AgentStagingInputPending', 72.37280988693237]
['unit.000055', u'pilot.0000', u'AgentStagingInputPending', 72.37283205986023]
['unit.000056', u'pilot.0000', u'AgentStagingInputPending', 72.3728518486023]
['unit.000057', u'pilot.0000', u'AgentStagingInputPending', 72.37287187576294]
['unit.000051', u'pilot.0000', u'AgentStagingInputPending', 72.37290000915527]
['unit.000052', u'pilot.0000', u'AgentStagingInputPending', 72.37291884422302]
['unit.000117', u'pilot.0000', u'AgentStagingInputPending', 72.37296390533447]
['unit.000247', u'pilot.0000', u'AgentStagingInputPending', 72.37302589416504]
['unit.000233', u'pilot.0000', u'AgentStagingInputPending', 72.37308502197266]
['unit.000240', u'pilot.0000', u'AgentStagingInputPending', 72.37316393852234]
['unit.000106', u'pilot.0000', u'AgentStagingInputPending', 72.37332105636597]
['unit.000107', u'pilot.0000', u'AgentStagingInputPending', 72.37335085868835]
['unit.000211', u'pilot.0000', u'AgentStagingInputPending', 72.37360692024231]
['unit.000173', u'pilot.0000', u'AgentStagingInputPending', 72.37367486953735]
['unit.000179', u'pilot.0000', u'AgentStagingInputPending', 72.37372994422913]
